Time,Speed,Throttle,Brake,RPM,nGear,DRS,X,Y
0 days 00:00:26.941000,132.0,65.0,False,8266.0,4,0,7330.328712457749,6286.921612373132
0 days 00:00:27.102000,136.0249984,69.69583146666666,False,8436.391598933333,4,0,7301.0,6257.0
0 days 00:00:27.181000,138.0,72.0,False,8520.0,4,0,7283.429262663257,6239.755570109014
0 days 00:00:27.421000,144.0,72.0,False,8940.0,4,0,7217.85878334772,6177.827379304823
0 days 00:00:27.602000,153.95499648,89.19499392,False,9492.95480448,4,0,7163.0,6130.0
0 days 00:00:27.621000,155.0,91.0,False,9551.0,4,0,7157.1213529070765,6125.109754886685
0 days 00:00:27.861000,164.0,100.0,False,9931.0,4,0,7079.995072658711,6064.750218555782
0 days 00:00:28.002000,172.22499626666666,100.0,False,10557.862215466666,4,0,7024.0,6024.0
0 days 00:00:28.101000,178.0,100.0,False,10998.0,4,0,6977.739876593496,5991.287879356949
0 days 00:00:28.462000,188.6659072,100.0,False,11597.7521664,4,0,6805.0,5872.0
0 days 00:00:28.541000,191.0,100.0,False,11729.0,4,0,6783.108728804652,5856.690002624705
0 days 00:00:28.741000,194.0,100.0,False,11243.0,4,0,6735.345213093223,5822.251611992235
0 days 00:00:28.742000,194.02999808,100.0,False,11241.99756416,4,0,6735.0,5822.0
0 days 00:00:28.963000,200.66000384,100.0,False,11020.44487168,4,0,6636.0,5749.0
0 days 00:00:29.141000,206.0,100.0,False,10842.0,5,0,6554.591989528921,5686.400183169676
0 days 00:00:29.163000,206.8250048,100.0,False,10869.3626592,5,0,6545.0,5679.0
0 days 00:00:29.423000,216.5749952,100.0,False,11192.7373408,5,0,6425.0,5583.0
0 days 00:00:29.461000,218.0,100.0,False,11240.0,5,0,6400.706030026415,5561.648947065127
0 days 00:00:29.663000,223.0499968,100.0,False,11444.164156342857,5,0,6261.0,5434.0
0 days 00:00:29.741000,225.0,100.0,False,11523.0,5,0,6227.151937678915,5402.562794634537
0 days 00:00:29.901000,229.0,100.0,False,11761.0,5,0,6198.415084521773,5374.4040044915455
0 days 00:00:30.063000,232.23999744,100.0,False,10967.2006272,5,0,6148.0,5313.0
0 days 00:00:30.101000,233.0,100.0,False,10781.0,5,0,6128.249606352939,5288.636021810746
0 days 00:00:30.303000,236.53499776,100.0,False,10825.94497152,5,0,6001.0,5130.0
0 days 00:00:30.501000,240.0,100.0,False,10870.0,6,0,5936.330608259867,5044.235088705268
0 days 00:00:30.703000,239.3687504,46.343784,False,10736.1750848,6,0,5893.0,4977.0
0 days 00:00:30.821000,239.0,15.0,False,10658.0,6,0,5853.563879020171,4915.285712733309
0 days 00:00:30.963000,234.562496,8.343744000000001,False,10393.0810112,6,0,5801.0,4831.0
0 days 00:00:31.103000,230.187504,1.781255999999999,False,10131.8939888,6,0,5754.0,4752.0
0 days 00:00:31.141000,229.0,0.0,True,10061.0,6,0,5741.452626124107,4731.096705285569
0 days 00:00:31.303000,224.9500032,0.0,True,9610.775355733333,6,0,5688.0,4645.0
0 days 00:00:31.381000,223.0,0.0,True,9394.0,6,0,5662.181247165399,4606.0444126787725
0 days 00:00:31.622000,195.0,0.0,True,9690.0,6,0,5581.243962579994,4496.703981753186
0 days 00:00:31.643000,194.2999936,0.0,True,9660.5122304,6,0,5574.0,4488.0
0 days 00:00:31.723000,191.63332693333334,0.0,True,9548.178897066668,6,0,5546.0,4456.0
0 days 00:00:31.862000,187.0,0.0,False,9353.0,5,0,5494.755379101793,4403.940255446116
0 days 00:00:31.922000,185.5,0.0,False,9295.25,5,0,5472.0,4383.0
0 days 00:00:32.022000,183.0,0.0,False,9199.0,5,0,5433.566565894354,4350.3029050813275
0 days 00:00:32.082000,182.25,0.0,False,9131.125,5,0,5410.0,4332.0
0 days 00:00:32.182000,181.0,0.0,False,9018.0,5,0,5369.6442155367895,4303.679705082324
0 days 00:00:32.461000,177.0,27.0,False,8757.0,5,0,5250.442458229019,4240.181773015702
0 days 00:00:32.462000,176.9892864,27.0607104,False,8758.124928,5,0,5250.0,4240.0
0 days 00:00:32.682000,174.63214354285714,40.41785325714286,False,9005.624928,5,0,5150.0,4208.0
0 days 00:00:32.741000,174.0,44.0,False,9072.0,5,0,5122.223687846387,4202.038625692334
0 days 00:00:32.882000,175.17499946666666,52.812495999999996,False,9211.824936533334,5,0,5054.0,4192.0
0 days 00:00:32.981000,176.0,59.0,False,9310.0,5,0,5004.501631375118,4188.031061275741
0 days 00:00:32.982000,176.0187488,59.046872,False,9310.1499904,5,0,5004.0,4188.0
0 days 00:00:33.301000,182.0,74.0,False,9358.0,5,0,4843.50950922064,4184.9928030720475
0 days 00:00:33.302000,182.01499904,73.99500032,False,9359.28991744,5,0,4843.0,4185.0
0 days 00:00:33.462000,184.41499904,73.19500032,False,9565.68991744,5,0,4761.0,4187.0
0 days 00:00:33.501000,185.0,73.0,False,9616.0,5,0,4741.034065352697,4187.550767319983
0 days 00:00:33.661000,187.0,82.0,False,9756.0,5,0,4659.317002898734,4189.607035848375
0 days 00:00:33.722000,188.5249984,82.30499968,False,9812.11994112,5,0,4628.0,4190.0
0 days 00:00:33.861000,192.0,83.0,False,9940.0,5,0,4555.884111688266,4189.693542096278
0 days 00:00:33.902000,192.81999872,76.85000959999999,False,9928.52001792,5,0,4534.0,4189.0
0 days 00:00:34.002000,194.81999872,61.8500096,False,9900.52001792,5,0,4480.0,4186.0
0 days 00:00:34.061000,196.0,53.0,False,9884.0,5,0,4450.1686829479395,4183.713561148317
0 days 00:00:34.302000,196.86071405714284,48.69642971428571,False,10008.803538285714,5,0,4337.0,4169.0
0 days 00:00:34.341000,197.0,48.0,False,10029.0,5,0,4316.86570780226,4165.247190514131
0 days 00:00:34.462000,195.70357211428572,46.271429485714286,False,10009.121439085715,5,0,4252.0,4151.0
0 days 00:00:34.621000,194.0,44.0,False,9983.0,5,0,4169.708616771208,4126.625995246139
0 days 00:00:34.642000,194.20999936,45.0499968,False,10001.374944,5,0,4159.0,4123.0
0 days 00:00:34.821000,196.0,54.0,False,10158.0,5,0,4068.502534149829,4088.217829246463
0 days 00:00:34.822000,196.00499968,54.09499392,False,10158.5499648,5,0,4068.0,4088.0
0 days 00:00:35.021000,197.0,73.0,False,10268.0,5,0,3968.556821435195,4039.0199395117374
0 days 00:00:35.381000,203.0,100.0,False,10689.0,5,0,3792.3882163964527,3922.5287410518163
0 days 00:00:35.763000,212.5500032,100.0,False,11121.354690327273,5,0,3632.0,3774.0
0 days 00:00:36.003000,218.5500032,100.0,False,11392.991053963637,5,0,3547.0,3669.0
0 days 00:00:36.243000,224.5500032,100.0,False,11664.6274176,5,0,3459.0,3547.0
0 days 00:00:36.261000,225.0,100.0,False,11685.0,5,0,3452.550277571775,3537.5171132153378
0 days 00:00:36.423000,228.0374976,97.30000213333334,False,11602.9875648,5,0,3396.0,3451.0
0 days 00:00:36.683000,232.9125024,92.96666453333333,False,11471.3624352,5,0,3308.0,3308.0
0 days 00:00:36.741000,234.0,92.0,False,11442.0,5,0,3288.6807866500117,3275.7513208047017
0 days 00:00:36.843000,227.624992,33.3499264,False,11397.374944,5,0,3255.0,3219.0
0 days 00:00:36.901000,224.0,0.0,True,11372.0,5,0,3236.0548157614794,3186.8517292074525
0 days 00:00:37.003000,216.9874912,0.0,True,10975.155752,5,0,3204.0,3132.0
0 days 00:00:37.221000,202.0,0.0,True,10127.0,5,0,3142.8930329753916,3026.433930482192
0 days 00:00:37.283000,197.3499904,0.0,True,9919.60957184,5,0,3121.0,2991.0
